update,mean_intval,count,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,-0.00792322,6266,334,326,331,327,305,286,313,326,329,331,295,280,291,312,297,331,302,324,313,313
100,-0.00860021,10000,390,1085,241,379,551,624,411,833,597,354,268,187,468,361,291,707,363,540,383,967
200,0.0319137,10000,229,1145,189,269,485,537,332,942,431,502,440,322,254,368,418,713,588,582,627,627
300,0.0316727,10000,377,988,278,148,340,395,456,833,548,803,550,333,216,404,478,539,351,576,725,662
400,0.090697,10000,764,626,226,62,278,383,643,847,235,561,327,271,262,341,441,1108,397,696,804,728
500,0.0855061,10000,815,626,261,16,184,237,638,761,158,559,528,685,255,296,604,993,534,592,526,732
600,0.0818351,10000,805,481,183,127,266,365,678,617,151,404,777,799,220,207,472,1294,522,539,521,572
700,0.0742978,10000,868,401,161,72,161,503,413,428,430,1189,474,879,233,137,332,1177,464,602,470,606
800,0.0169346,10000,865,584,176,31,168,261,643,772,858,1022,441,716,199,58,358,774,467,616,247,744
900,0.0262419,10000,877,714,149,88,226,616,414,636,656,878,351,546,286,13,369,1069,292,600,191,1029
