uid treatment rep update sym_nand_count
NoAnti_Seed_11 NoAnti_Seed 11 1700 195
NoAnti_Seed_11 NoAnti_Seed 11 1800 180
NoAnti_Seed_11 NoAnti_Seed 11 1900 236
NoAnti_Seed_11 NoAnti_Seed 11 2000 259
NoAnti_Seed_12 NoAnti_Seed 12 0 0
NoAnti_Seed_12 NoAnti_Seed 12 100 5206
NoAnti_Seed_12 NoAnti_Seed 12 200 408
NoAnti_Seed_12 NoAnti_Seed 12 300 124
NoAnti_Seed_12 NoAnti_Seed 12 400 227
NoAnti_Seed_12 NoAnti_Seed 12 500 208
NoAnti_Seed_12 NoAnti_Seed 12 600 238
NoAnti_Seed_12 NoAnti_Seed 12 700 193
NoAnti_Seed_12 NoAnti_Seed 12 800 265
NoAnti_Seed_12 NoAnti_Seed 12 900 288
NoAnti_Seed_12 NoAnti_Seed 12 1000 273
NoAnti_Seed_12 NoAnti_Seed 12 1100 403
NoAnti_Seed_12 NoAnti_Seed 12 1200 275
NoAnti_Seed_12 NoAnti_Seed 12 1300 201
NoAnti_Seed_12 NoAnti_Seed 12 1400 169
NoAnti_Seed_12 NoAnti_Seed 12 1500 230
NoAnti_Seed_12 NoAnti_Seed 12 1600 328
NoAnti_Seed_12 NoAnti_Seed 12 1700 280
NoAnti_Seed_12 NoAnti_Seed 12 1800 173
NoAnti_Seed_12 NoAnti_Seed 12 1900 199
NoAnti_Seed_12 NoAnti_Seed 12 2000 265
NoAnti_Seed_13 NoAnti_Seed 13 0 0
NoAnti_Seed_13 NoAnti_Seed 13 100 4504
NoAnti_Seed_13 NoAnti_Seed 13 200 38
NoAnti_Seed_13 NoAnti_Seed 13 300 74
NoAnti_Seed_13 NoAnti_Seed 13 400 149
NoAnti_Seed_13 NoAnti_Seed 13 500 173
NoAnti_Seed_13 NoAnti_Seed 13 600 198
NoAnti_Seed_13 NoAnti_Seed 13 700 318
NoAnti_Seed_13 NoAnti_Seed 13 800 223
NoAnti_Seed_13 NoAnti_Seed 13 900 225
NoAnti_Seed_13 NoAnti_Seed 13 1000 277
NoAnti_Seed_13 NoAnti_Seed 13 1100 234
NoAnti_Seed_13 NoAnti_Seed 13 1200 252
NoAnti_Seed_13 NoAnti_Seed 13 1300 279
NoAnti_Seed_13 NoAnti_Seed 13 1400 225
NoAnti_Seed_13 NoAnti_Seed 13 1500 192
NoAnti_Seed_13 NoAnti_Seed 13 1600 250
NoAnti_Seed_13 NoAnti_Seed 13 1700 182
NoAnti_Seed_13 NoAnti_Seed 13 1800 265
NoAnti_Seed_13 NoAnti_Seed 13 1900 277
NoAnti_Seed_13 NoAnti_Seed 13 2000 260
NoAnti_Seed_14 NoAnti_Seed 14 0 0
NoAnti_Seed_14 NoAnti_Seed 14 100 4597
NoAnti_Seed_14 NoAnti_Seed 14 200 279
NoAnti_Seed_14 NoAnti_Seed 14 300 49
NoAnti_Seed_14 NoAnti_Seed 14 400 192
NoAnti_Seed_14 NoAnti_Seed 14 500 314
NoAnti_Seed_14 NoAnti_Seed 14 600 234
NoAnti_Seed_14 NoAnti_Seed 14 700 203
NoAnti_Seed_14 NoAnti_Seed 14 800 247
NoAnti_Seed_14 NoAnti_Seed 14 900 241
NoAnti_Seed_14 NoAnti_Seed 14 1000 292
NoAnti_Seed_14 NoAnti_Seed 14 1100 224
NoAnti_Seed_14 NoAnti_Seed 14 1200 257
NoAnti_Seed_14 NoAnti_Seed 14 1300 264
NoAnti_Seed_14 NoAnti_Seed 14 1400 219
NoAnti_Seed_14 NoAnti_Seed 14 1500 211
NoAnti_Seed_14 NoAnti_Seed 14 1600 214
NoAnti_Seed_14 NoAnti_Seed 14 1700 188
NoAnti_Seed_14 NoAnti_Seed 14 1800 228
NoAnti_Seed_14 NoAnti_Seed 14 1900 186
NoAnti_Seed_14 NoAnti_Seed 14 2000 147
NoAnti_Seed_15 NoAnti_Seed 15 0 0
NoAnti_Seed_15 NoAnti_Seed 15 100 5986
NoAnti_Seed_15 NoAnti_Seed 15 200 177
NoAnti_Seed_15 NoAnti_Seed 15 300 143
NoAnti_Seed_15 NoAnti_Seed 15 400 182
NoAnti_Seed_15 NoAnti_Seed 15 500 182
NoAnti_Seed_15 NoAnti_Seed 15 600 236
NoAnti_Seed_15 NoAnti_Seed 15 700 147
NoAnti_Seed_15 NoAnti_Seed 15 800 311
NoAnti_Seed_15 NoAnti_Seed 15 900 216
NoAnti_Seed_15 NoAnti_Seed 15 1000 217
NoAnti_Seed_15 NoAnti_Seed 15 1100 160
NoAnti_Seed_15 NoAnti_Seed 15 1200 272
NoAnti_Seed_15 NoAnti_Seed 15 1300 259
NoAnti_Seed_15 NoAnti_Seed 15 1400 195
NoAnti_Seed_15 NoAnti_Seed 15 1500 239
NoAnti_Seed_15 NoAnti_Seed 15 1600 213
NoAnti_Seed_15 NoAnti_Seed 15 1700 232
NoAnti_Seed_15 NoAnti_Seed 15 1800 171
NoAnti_Seed_15 NoAnti_Seed 15 1900 201
NoAnti_Seed_15 NoAnti_Seed 15 2000 156
